SK_ID_CURR,EXT_SOURCE_3,EXT_SOURCE_2,BURO_DAYS_CREDIT_MEAN,BURO_CREDIT_ACTIVE_Closed_MEAN,DAYS_BIRTH,BURO_CREDIT_ACTIVE_Active_MEAN,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,DAYS_EMPLOYED,PREV_CODE_REJECT_REASON_XAP_MEAN,BURO_DAYS_CREDIT_UPDATE_MEAN,DAYS_EMPLOYED_PERC,PREV_NAME_CONTRACT_STATUS_Approved_MEAN,ACTIVE_DAYS_CREDIT_MEAN,CLOSED_DAYS_CREDIT_MEAN,REGION_RATING_CLIENT_W_CITY,PREV_CODE_REJECT_REASON_HC_MEAN,PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,DAYS_LAST_PHONE_CHANGE,REGION_RATING_CLIENT,CODE_GENDER,TARGET
122701,0.7281412993111438,0.3405235422978756,-1305.0,1.0,-17352.0,0.0,0.0,-1599.0,1.0,-755.0,0.0921507607192254,0.8,-638.1899999999999,-1305.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0
273201,0.1694287272664794,0.6829170073572459,-485.2857142857143,0.4285714285714285,-15008.0,0.5714285714285714,0.4,-188.0,0.6,-218.0,0.0125266524520255,0.2,-358.5,-654.3333333333334,2.0,0.4,0.2,-132.0,2.0,0.0,0.0
112681,0.6263042766749393,0.5836922616224135,-619.8571428571429,0.5714285714285714,-10747.0,0.4285714285714285,0.0,-2846.0,1.0,-295.85714285714283,0.2648180887689588,0.6666666666666666,-426.3333333333333,-765.0,2.0,0.0,0.1666666666666666,-1564.0,2.0,1.0,0.0
349505,0.5797274227921155,0.5447811812795327,-660.0,0.25,-11886.0,0.75,0.1428571428571428,-1230.0,0.7142857142857143,-206.5,0.1034830893488137,0.7142857142857143,-535.3333333333334,-1034.0,2.0,0.1428571428571428,0.0,-1042.0,2.0,0.0,0.0
329816,0.5971924268337128,0.7542886602116451,-2489.0,1.0,-22560.0,0.0,0.0,-1842.0,1.0,-2306.0,0.0816489361702127,1.0,-2425.6,-2489.0,2.0,0.0,0.0,-867.0,2.0,1.0,0.0
290719,0.5549467685334323,0.5499551609833053,-1477.6,0.7333333333333333,-21879.0,0.2,0.0,-4687.1,1.0,-1275.4,0.2135590696219242,1.0,-916.3333333333334,-1568.4545454545455,3.0,0.0,0.0,-1812.0,3.0,1.0,0.0
107560,0.6690566947824041,0.6554119798913541,-981.3333333333334,0.6666666666666666,-8198.0,0.3333333333333333,0.0,-1268.0,1.0,-560.0,0.1546718711880946,1.0,-331.0,-1306.5,2.0,0.0,0.0,-291.0,2.0,1.0,0.0
279842,0.5954562029091491,0.5410911226095733,-1496.7142857142858,0.7142857142857143,-17814.0,0.2857142857142857,0.0,-10839.0,1.0,-1038.0,0.608454024924217,0.75,-695.0,-1817.4,2.0,0.0,0.0,-1251.0,2.0,1.0,0.0
361287,0.2707073872651806,0.3463022354697229,-943.5454545454544,0.3636363636363636,-22974.0,0.6363636363636364,0.3333333333333333,-4601.0,0.6666666666666666,-390.7272727272728,0.2004103252082831,0.6666666666666666,-684.5714285714286,-1396.75,2.0,0.1666666666666666,0.1666666666666666,-1218.0,2.0,1.0,0.0
453454,0.7281412993111438,0.7023029018780648,-877.0,1.0,-21571.0,0.0,0.0,-3585.2,0.9,-512.8,0.1662163387467091,0.8,-635.7416666666666,-877.0,2.0,0.0,0.0,-1451.0,2.0,1.0,0.0
178644,0.6006575372857061,0.4544146396126698,-913.4444444444443,0.4444444444444444,-16269.0,0.5555555555555556,0.3333333333333333,-918.0,0.6666666666666666,-388.8888888888889,0.0564263322884012,0.6666666666666666,-692.8,-1189.25,1.0,0.0,0.3333333333333333,-425.0,2.0,1.0,0.0
362066,0.3441550073724169,0.7120022976424517,-864.25,0.75,-11648.0,0.25,0.0,-593.0,1.0,-300.5,0.0509100274725274,0.5,-168.5,-1096.1666666666667,2.0,0.0,0.0,-1913.0,2.0,1.0,0.0
278794,0.5709165417729987,0.6504367184119941,-469.0,1.0,-15889.0,0.0,0.0,-3304.9,1.0,-319.2,0.2079197102595752,0.75,-357.0833333333333,-469.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
324989,0.5064842396679806,0.356584290092409,-235.5,0.5,-16240.0,0.5,0.0,-693.0,0.6666666666666666,-88.0,0.0426724137931034,0.6666666666666666,-76.0,-395.0,2.0,0.0,0.3333333333333333,-862.0,2.0,1.0,0.0
110396,0.3689687382528466,0.750086228022998,-1030.0,0.8,-16209.0,0.2,0.0,-2001.0,1.0,-346.5,0.1234499352211734,1.0,-1067.0,-1020.75,1.0,0.0,0.0,-248.0,1.0,1.0,0.0
246946,0.3376727217405312,0.7332052162024046,-1367.3333333333333,0.3333333333333333,-17650.0,0.6666666666666666,0.0,-2973.0,1.0,-799.3333333333334,0.168441926345609,1.0,-636.0,-2830.0,2.0,0.0,0.0,-2525.0,2.0,1.0,0.0
445184,0.6512602186973006,0.6592391751792549,-1200.75,0.5,-13894.0,0.5,0.0,-2945.0,1.0,-380.0,0.2119619979847416,0.7,-670.0,-1731.5,2.0,0.0,0.0,-33.0,2.0,0.0,0.0
